rx_id,distance_m,distance_km,h_los_re,h_los_im,h_total_re,h_total_im,abs_h_los,abs_h_total,rss_los_dbm,rss_total_dbm,ris_gain_db
RX_14507,14507.537688442211,14.507537688442211,9.325991154396815e-06,1.3557934947771202e-05,9.372650545843965e-06,1.3506610557435438e-05,1.6455750091074042e-05,1.6440045833413472e-05,-85.67364633546894,-85.68193952038311,-0.008293184914165863
RX_14929,14929.64824120603,14.92964824120603,-1.5225959949962518e-05,4.88528043019769e-06,-1.5288952172736182e-05,4.855182085492104e-06,1.5990491589677132e-05,1.6041348185969217e-05,-85.92276369392783,-85.89518268971304,0.027581004214795257
RX_15351,15351.75879396985,15.35175879396985,-2.863995190086301e-07,-1.5548180963988566e-05,-2.971542249805935e-07,-1.5478739357814752e-05,1.555081849850434e-05,1.5481591414986614e-05,-86.16493494942601,-86.20368796967335,-0.038753020247341396
RX_15773,15773.869346733669,15.773869346733669,1.4571571938680029e-05,4.0899551880391536e-06,1.4641626707866266e-05,4.0801948958510345e-06,1.5134676812019992e-05,1.5199513908037703e-05,-86.40053697185539,-86.3634060179895,0.0371309538658835
RX_16195,16195.979899497488,16.195979899497488,-7.900827927155198e-06,1.2443922208918564e-05,-7.930542490139823e-06,1.2379219738692543e-05,1.4740226656199429e-05,1.4701652476056839e-05,-86.62991676810122,-86.65267695007233,-0.022760181971108295
RX_16618,16618.090452261305,16.618090452261306,-9.397216171983422e-06,-1.0865954698349303e-05,-9.450977586429128e-06,-1.0818553874312819e-05,1.4365815093114838e-05,1.4365308394552295e-05,-86.8533945561286,-86.85370092269281,-0.000306366564203131
RX_17040,17040.201005025127,17.040201005025125,1.2786705957739726e-05,-5.725288892537027e-06,1.2847988025208429e-05,-5.6871999606514465e-06,1.4009952967540772e-05,1.4050446245167198e-05,-87.07126645341629,-87.0461976450911,0.02506880832518732
RX_17462,17462.311557788944,17.462311557788944,1.757711023268774e-06,1.3557830283201207e-05,1.7766675259080067e-06,1.3487705785728052e-05,1.3671295111634752e-05,1.3604218274490381e-05,-87.28380683637721,-87.32652817188388,-0.04272133550666979
RX_17884,17884.422110552765,17.884422110552766,-1.31714013555372e-05,-2.167932597807734e-06,-1.3244507846875646e-05,-2.1658798212336776e-06,1.3348623352888663e-05,1.3420433059554292e-05,-87.49127041793146,-87.44466939669336,0.04660102123810361
RX_18306,18306.532663316582,18.30653266331658,5.733166662615794e-06,-1.1712988344380815e-05,5.756341229452525e-06,-1.1643094323836077e-05,1.3040831872887939e-05,1.2988345151852057e-05,-87.69389408269285,-87.72892357931144,-0.03502949661859134
RX_18728,18728.643216080403,18.728643216080403,9.350664738544071e-06,8.663076785432411e-06,9.411340422076328e-06,8.620465969378953e-06,1.274691454599698e-05,1.276267064800422e-05,-87.89189851293133,-87.88116875942704,0.010729753504293171
RX_19150,19150.75376884422,19.150753768844222,-1.0746297307339473e-05,6.317998269057454e-06,-1.0804979466741348e-05,6.2718444365079916e-06,1.2465953952487735e-05,1.249334278375721e-05,-88.0854896332979,-88.06642687974964,0.01906275354825482
RX_19572,19572.86432160804,19.57286432160804,-2.8925866525018445e-06,-1.1849155203840803e-05,-2.9200786025191887e-06,-1.1779182874368816e-05,1.2197111813332671e-05,1.213573270275487e-05,-88.27485989802622,-88.31867995457321,-0.04382005654699128
RX_19994,19994.97487437186,19.99497487437186,1.1923092975695894e-05,6.280086291061829e-07,1.1998545192567045e-05,6.342307682148777e-07,1.1939620636574706e-05,1.2015295893377914e-05,-88.46018944078232,-88.405310592451,0.05487884833131318
RX_20417,20417.08542713568,20.41708542713568,-3.950943326912546e-06,1.1005047331400827e-05,-3.966823301300111e-06,1.0930474554086059e-05,1.1692776399933732e-05,1.1628024814269203e-05,-88.64164710438277,-88.68988100227594,-0.04823389789316934
RX_20839,20839.195979899498,20.839195979899497,-9.211020950544409e-06,-6.811422307349639e-06,-9.278339422649262e-06,-6.774479537072852e-06,1.1455932122722634e-05,1.148830515960062e-05,-88.81939136513489,-88.79488073889749,0.024510626237400857
RX_21261,21261.306532663315,21.261306532663315,8.99289333065764e-06,-6.723608161326849e-06,9.048049723178126e-06,-6.669392003857652e-06,1.1228492203481626e-05,1.124046233454052e-05,-88.99357116448044,-88.98431650628163,0.009254658198813104
RX_21683,21683.417085427136,21.683417085427138,3.774682559441619e-06,1.0342622150601933e-05,3.810980601071647e-06,1.0273694649058305e-05,1.1009907418987431e-05,1.0957754098529208e-05,-89.1643266588791,-89.20556899470827,-0.04124233582916759
RX_22105,22105.527638190953,22.105527638190953,-1.078158228198516e-05,6.247930249274578e-07,-1.0858600134375553e-05,6.097718246618738e-07,1.0799670496233407e-05,1.0875707726691272e-05,-89.33178989739179,-89.27084944278447,0.06094045460731934
RX_22527,22527.638190954774,22.527638190954775,2.458978827373199e-06,-1.030807686303031e-05,2.4668289711205866e-06,-1.0229422148266059e-05,1.0597312182228588e-05,1.0522657585429455e-05,-89.49608543517037,-89.55749123230211,-0.06140579713174077
RX_22949,22949.748743718592,22.94974874371859,8.995024409436885e-06,5.224884187355285e-06,9.068627774916405e-06,5.194494059421516e-06,1.0402397747521515e-05,1.0450970206318202e-05,-89.65733088999455,-89.61686780695972,0.0404630830348367
RX_23371,23371.859296482413,23.371859296482413,-7.456362152272543e-06,6.981343804503089e-06,-7.507034759783476e-06,6.919148848207663e-06,1.0214523868615516e-05,1.0209318864069766e-05,-89.81563744808486,-89.82006463611413,-0.004427188029268336
RX_23793,23793.96984924623,23.79396984924623,-4.458327440933259e-06,-8.988367105278082e-06,-4.50363418394509e-06,-8.92143219532221e-06,1.0033315842224025e-05,9.993731699346866e-06,-89.97111032464039,-90.00544628389477,-0.03433595925437771
RX_24216,24216.08040201005,24.21608040201005,9.71898036590912e-06,-1.6522608509202449e-06,9.796710501474037e-06,-1.6279651983551358e-06,9.858425090875858e-06,9.931052680191922e-06,-90.12384918387872,-90.06009428695484,0.06375489692388214
RX_24638,24638.19095477387,24.63819095477387,-1.195194218328645e-06,9.615531332662438e-06,-1.1943040873756924e-06,9.533476412785952e-06,9.689526924929787e-06,9.607993274678557e-06,-90.2739485227781,-90.34734619197606,-0.0733976691979592
RX_25060,25060.30150753769,25.06030150753769,-8.71491553006317e-06,-3.847205746185432e-06,-8.794356988753453e-06,-3.824254566882978e-06,9.526318530766145e-06,9.589871627814525e-06,-90.42149802222181,-90.3637441270871,0.05775389513470941
RX_25482,25482.412060301507,25.482412060301506,6.090922998315194e-06,-7.118270210223042e-06,6.136125445760096e-06,-7.048264754097488e-06,9.368517158929354e-06,9.34505599394447e-06,-90.566582868812,-90.58836184121235,-0.02177897240034099
RX_25904,25904.52261306533,25.90452261306533,4.9806146728911296e-06,7.754065074339482e-06,5.0350599363722615e-06,7.690123218690785e-06,9.215858489414308e-06,9.191834620004223e-06,-90.70928405024524,-90.73195596199531,-0.022671911750066442
RX_26326,26326.633165829146,26.326633165829147,-8.71768886693402e-06,2.496447585115014e-06,-8.795205469851584e-06,2.462456047252132e-06,9.06809515421469e-06,9.13341825613805e-06,-90.84967862681347,-90.78733307594021,0.062345550873260436
RX_26748,26748.743718592967,26.748743718592966,1.1741160471197575e-07,-8.924223069872462e-06,1.0710067615610782e-07,-8.839535442354467e-06,8.924995399761555e-06,8.840184239679277e-06,-90.98783998130963,-91.07077367385108,-0.08293369254144523
RX_27170,27170.854271356784,27.170854271356784,8.380262293154514e-06,2.6402665443909063e-06,8.465003758276023e-06,2.6256377890784277e-06,8.786341874039346e-06,8.862858592297625e-06,-91.12383804936704,-91.04852359695487,0.07531445241217227
RX_27592,27592.964824120605,27.592964824120607,-4.865741937805421e-06,7.15405180332091e-06,-4.90446300431783e-06,7.076492555665334e-06,8.651930525028366e-06,8.60990733115689e-06,-91.25773953204208,-91.30003045706812,-0.042290925026037485
