trial,snr_db_los_only,snr_db_los_plus_ris
0,98.98552767413584,99.92874045333166
1,98.41559848342142,100.49866961761317
2,98.90995543418164,100.42364313390989
3,98.97582131175012,100.37496697321427
4,98.86182533743889,100.13732292817514
5,98.62418053606943,100.09141071974494
6,98.5782686288697,100.67348417478387
7,98.9105002518629,100.42309697544877
8,98.53629031562264,100.4889636444396
9,99.1005335666246,100.53444061032253
10,99.16034212433081,100.24747926414015
11,98.8542745504749,100.04943299590026
12,98.46716073395007,99.93917090808927
13,98.57366800655052,100.367415827565
14,99.01685786086935,100.61367534868167
15,98.94988966734515,100.46303152951754
16,98.42602915092904,100.55990485131902
17,99.17258132726359,99.980302946591
18,98.73433700683533,100.0868103591283
19,99.02129850828615,100.19009575398414
20,98.70158713701122,100.68572297684412
21,98.58737334045134,99.8452856098723
22,98.59249775900587,100.43459580275331
23,98.74237565600711,100.52999894123873
24,98.85146190922777,100.10563990055941
25,98.56730189030756,100.10051610093572
26,99.1108172592254,100.21472901586915
27,98.72192949158602,100.25551780150724
28,98.55724190855435,100.36460391606356
29,99.0528999337914,100.62395910213209
30,98.76756824586941,100.08044391271503
31,98.60069103887348,100.2350714584616
32,99.07075312421446,100.0703835427072
33,99.04676199645736,100.56604264735944
34,98.71965039989507,100.11383307404627
35,99.00672120778401,100.28071033483081
36,98.6769548083705,100.58389465154404
37,98.46743021387698,100.23279190302392
38,98.86926340279949,100.51986316477416
39,98.3321451914371,99.98057172332672
40,99.1425005592192,100.38240537575938
41,98.58303330765625,100.65564157762971
42,98.75525324509113,100.09617571648229
43,99.01105305760697,100.00053106448604
44,99.1832963675529,100.2683941911868
45,98.48738949624033,100.69643796026983
46,99.05415467836838,100.52419460615
47,98.92145427191026,100.22172946515377
48,98.70858752657011,100.56729600455922
49,98.76212253766504,100.27526460477478
50,98.57931281509927,100.3198063634248
51,98.95714670689583,100.09245352807886
52,98.80666424188607,100.89567905480116
53,99.38253691231218,100.47028882755833
54,98.58915264379883,100.10229475710244
55,99.0027092490013,100.51585148651856
